,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006
717,210053965062,2021,2,F,0,3,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,464.0,580.1,498.5,603.8,0,1.0,600.0,F,G,D,D,4.0,P
718,210053037741,2021,3,M,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,451.0,625.0,482.4,535.3,0,1.0,460.0,E,E,C,B,4.0,H
719,210051788864,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,640.1,612.2,593.8,741.9,0,1.0,640.0,F,G,D,D,3.0,H
720,210051984744,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3516200,Franca,35,SP,0,0,0,0,,,,,0,,,H,H,C,B,6.0,C
721,210052652272,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,478.0,591.1,510.2,596.6,1,1.0,660.0,D,B,B,B,7.0,C
722,210052015907,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,458.3,559.4,554.4,639.3,0,1.0,800.0,B,F,B,D,4.0,H
723,210051670249,2021,3,M,1,3,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,414.7,402.4,461.9,461.4,1,1.0,620.0,F,G,E,E,5.0,P
724,210051917531,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,515.2,568.0,598.8,727.2,0,1.0,700.0,G,F,D,D,3.0,Q
725,210052262651,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,509.8,575.2,530.1,638.1,0,1.0,860.0,G,G,D,E,5.0,Q
726,210053923901,2021,3,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,1,1,0,,432.0,515.1,,1,1.0,640.0,E,E,C,D,3.0,C
